item_id,sample_part
1812167,train
9500515,train
17691258385,train
23149750057,test
25639250154,train
30870000108,train
31630750280,test
97339250157,test
110870001002,train
127867500274,val
136426000093,val
139101250293,test
154567002309,train
164863250014,train
178576750126,train
199233250446,val
206879000548,train
217188500111,val
237696000660,train
255448250352,train
259641000081,train
280039250369,val
283038750471,test
308148750094,val
323005250075,val
334911000242,train
363083250087,train
394445000490,test
396126500171,test
397871750081,train
402189500511,train
410383250612,val
414540801795,train
414541800998,train
414542796862,train
414543055116,train
414543309222,train
414753752715,train
415818750130,test
422956250704,train
428391000240,train
432326750090,test
442032750030,test
450764500511,train
461815500001,test
469160500753,train
481077000364,train
483535500634,train
489397001552,test
495487502032,test
500423500543,train
510819750201,test
517861001476,train
519678250243,train
528266000300,train
532583750012,test
533785750006,train
543330250041,train
543579500121,train
544262750221,train
557746750053,val
558209500196,train
574714000410,test
575182500153,test
585946750003,test
586256750666,test
587858000455,val
599920750051,train
600955000099,test
605267250019,train
609662250320,val
616248750228,train
624758500483,val
626305000142,val
635043000283,train
637900750052,val
643731250516,val
650347750927,val
651935750385,train
655435000203,train
656162500894,train
656582751706,train
657721000157,train
661403750464,test
665048000571,test
670096250066,train
671517500266,test
671675750314,test
674563750104,test
677126001549,val
677447502040,val
682616752746,train
683108001830,val
683367002598,train
685774500358,val
686533750210,test
688249750331,test
689580536163,test
689582798615,train
689584049123,train
689679802043,train
689679825658,train
689680053052,train
689680291753,val
689681062501,test
689683805658,train
690227751110,test
690753001270,val
691065750742,train
692472251321,train
693819751252,test
693844250022,train
694329500193,val
698765752915,test
700426250080,val
704877000117,train
705248000149,train
713249250728,val
717186250986,test
721980250304,train
726077750215,val
726190750143,train
728397500127,test
729597500557,val
730027750106,train
732936250304,val
739019250500,train
741736750385,train
742023250437,val
744810500258,train
747316750565,train
748114250010,train
750461000315,train
752998500034,test
758701000379,test
759046500354,test
759464750145,train
765317250251,train
769589750559,test
774369750031,val
776877000123,train
778176750354,val
778939000322,train
782380250138,test
782680000196,val
783554750067,test
783917000199,train
791395250683,train
791639750521,train
794846500160,val
797748250185,train
801323250077,train
804033252218,test
808010500132,train
809085250096,train
810185500076,train
810638500112,train
816951000078,val
817182250545,train
821294750334,train
822800750040,train
825548000081,train
830574250662,train
831182250081,train
834372750179,train
839104000429,train
839702250286,train
839974000477,test
841850500012,train
844373250568,train
844875000041,train
847721500097,test
848295750432,test
855583750774,val
855953500179,val
857247000885,val
863667250186,test
864817250318,test
867134000162,val
868112000226,train
871526250513,val
874546500214,train
878442500238,train
883505250779,val
884910000001,val
891775500109,train
892476250358,val
896340750075,train
899941500021,test
904782000024,train
906225500018,train
909251500092,train
910787500773,test
912475000020,train
913770000050,val
920811000305,train
921125750484,val
922294250027,val
929540000211,val
930498500054,test
935679500233,test
937633500416,train
942783000471,train
944656250810,train
960142500539,val
960889000192,train
963083000522,train
963282750291,val
969102250354,train
970655000255,train
974752500374,test
977091000070,val
979343250080,train
981521000230,test
982699250499,val
983369750331,test
984019750374,train
985425750058,train
989270000045,test
993102250038,train
996591250186,train
997782500127,test
997976500373,val
998022250281,train
1000560000089,val
1007938250285,train
1010169750092,train
1014275000031,train
1016248750627,val
1018311000021,train
1025915250092,train
1027246500910,train
1028537500486,train
1029235500181,test
1029837751090,train
1034105500521,val
1035556000102,train
1036670750292,train
1040996000013,train
1044962000682,test
1045673500486,val
1046305500139,val
1047680500166,train
1051523500620,train
1051575750437,train
1056255750370,test
1056750000181,test
1057649500596,train
1059101250660,test
1062921000299,test
1063431000777,train
1063517750512,train
1065159000135,train
1065188750476,test
1066627250075,test
1067293500043,train
1070285500236,train
1073713500493,train
1078667251906,train
1078779750288,train
1080929000495,val
1080934500558,train
1083046250946,test
1084692250034,train
1086821250025,train
1088153750629,val
1088240750568,train
1091229250199,train
1091499750253,train
1092273500348,train
1096100000244,train
1096360500829,train
1096958250067,train
1098428000015,test
1098823500722,test
1098961250188,train
1100654750297,train
1104236250038,train
1105273500054,train
1109223750302,test
1110746001065,train
1112501751008,val
1113668000594,val
1115822001839,val
1116440000962,val
1118756500472,val
1119770250543,train
1120503750131,train
